image_id,predicted_class
1097414930147604.png,Negative
1097420335889471.png,Negative
1097522673359120.png,Negative
1098589242641573.png,Positive
1098917200296876.png,Positive
1099123582198977.png,Positive
1099476465078406.png,Positive
1099519935053837.png,Negative
1099541886719533.png,Negative
1099733910397738.png,Negative
1099911534433380.png,Positive
1100017231318918.png,Negative
1100086164167746.png,Negative
1100331488538948.png,Positive
110042811235093.png,Positive
110054741941138.png,Positive
1101313185271205.png,Negative
1101372873264891.png,Negative
1101409438325776.png,Negative
1101504761723788.png,Negative
1101676672110674.png,Negative
1101776880662480.png,Positive
1101869314368383.png,Negative
110209112478427.png,Negative
1102208345388166.png,Positive
1102415463042603.png,Negative
1102418063381793.png,Positive
1102602907297117.png,Negative
1102663776608331.png,Positive
1102896599824266.png,Negative
1102897379154184.png,Positive
1103060263667844.png,Positive
1103172720179461.png,Negative
1103531391853530.png,Negative
1103581410226718.png,Positive
1103983355159252.png,Positive
1104012767077597.png,Positive
1104773466703676.png,Positive
1104959358994246.png,Positive
1105029068674213.png,Positive
1105273610968319.png,Positive
110572151346582.png,Positive
110597166690429.png,Positive
1106451972351638.png,Negative
110653541500608.png,Positive
1106815040871576.png,Negative
1106874235118615.png,Negative
1107110333668112.png,Positive
1107241284179667.png,Negative
1107479415069403.png,Negative
1108333143540132.png,Negative
1108458693541643.png,Positive
1108582462423311.png,Negative
1108804473185652.png,Negative
1108837953625261.png,Positive
1108957647634569.png,Positive
1109028044588837.png,Negative
110908506572851.png,Negative
1109149035791313.png,Positive
1109428951615884.png,Negative
1109658199339628.png,Positive
1110845434407333.png,Positive
1110984867957263.png,Negative
1111189555898248.png,Negative
111121535971814.png,Negative
1111339914992201.png,Negative
1111377774292211.png,Positive
1111719107702454.png,Positive
1112741441767671.png,Negative
1112940710706775.png,Positive
1113045862829350.png,Positive
1113718609724929.png,Positive
1113768550054721.png,Negative
1113778385816851.png,Negative
1113783086677487.png,Positive
1113884770784567.png,Positive
1114037420912263.png,Negative
1114228762272211.png,Positive
1114400454251105.png,Positive
1114455547657322.png,Negative
111469468546116.png,Negative
1114793671956976.png,Negative
1115087089933347.png,Positive
1115135372614145.png,Positive
1115186692631929.png,Negative
1115631015018419.png,Negative
1115881877645482.png,Positive
1115946884219300.png,Negative
1116215400537672.png,Positive
1116259369794348.png,Positive
1116342319491701.png,Positive
1116516483528270.png,Positive
1116916348926702.png,Negative
111751467959392.png,Negative
1117539358030059.png,Negative
1118174355381906.png,Positive
1118671925130396.png,Negative
1118910231327788.png,Positive
1119015064797890.png,Negative
1119408842961262.png,Positive
1119528317450109.png,Negative
11195780401227.png,Positive
111981498965187.png,Negative
1120091743724135.png,Negative
1120142712033865.png,Positive
112022059058947.png,Positive
112033815348791.png,Positive
1120551876826453.png,Negative
1120643546457875.png,Negative
1120761564881307.png,Negative
1120859708413484.png,Negative
1120908590681999.png,Positive
1120949283429227.png,Positive
1122086869411936.png,Negative
1122154030813741.png,Negative
1122194897149381.png,Negative
1122211383346579.png,Positive
1122755239349610.png,Negative
1122853685202824.png,Positive
1122899655428964.png,Positive
1123050660472419.png,Negative
1123144878633568.png,Negative
112361169966770.png,Negative
1123761750795978.png,Negative
1123954839961234.png,Negative
112396269164484.png,Negative
1124799698221968.png,Positive
1125271892548097.png,Negative
1125372857944810.png,Negative
1125590098972728.png,Positive
1125860153633424.png,Negative
1126147416260012.png,Negative
1126237169654521.png,Negative
1126309718354796.png,Negative
1126612598448512.png,Negative
1126869985407200.png,Negative
112709280627341.png,Negative
1127407858752953.png,Positive
1127429275749569.png,Negative
1127855001795730.png,Positive
1127996993160266.png,Positive
1128146625152129.png,Positive
1128317276706439.png,Positive
1128491548314926.png,Negative
1128710532221874.png,Negative
1128718127671311.png,Positive
1129501058265815.png,Positive
1129522350521075.png,Positive
1129617508549866.png,Positive
113002705732575.png,Positive
1130096520002738.png,Negative
1130205268257817.png,Negative
1130216746746029.png,Positive
1130279587444872.png,Positive
1130308615102115.png,Negative
1130317849504212.png,Positive
1130346097297172.png,Positive
1130356948607445.png,Positive
1130950209993739.png,Negative
1131788096552180.png,Positive
1131843210792191.png,Negative
1131844305475041.png,Positive
1132260075619606.png,Negative
1132404183083993.png,Positive
1133016343436270.png,Positive
1133039349924248.png,Negative
1133086387228868.png,Negative
1133246463154351.png,Positive
1133405100758847.png,Negative
1133477416645974.png,Positive
1133575713876144.png,Negative
113365652568420.png,Negative
1134137802997187.png,Negative
1134376741876885.png,Positive
1134744766959993.png,Positive
1134911226292258.png,Positive
1134955028528811.png,Negative
11352222790134.png,Positive
1135630141615715.png,Negative
1135876048641341.png,Negative
1136090194681730.png,Positive
1136349802274485.png,Negative
1136376134456847.png,Negative
1136569616530614.png,Positive
1136574379775896.png,Positive
1136720187981278.png,Negative
1136808331596853.png,Negative
1137125154180705.png,Negative
1137517322846570.png,Negative
1137788170692114.png,Positive
11380050244209.png,Negative
1138554741543580.png,Negative
1138572742323911.png,Positive
1138882426227316.png,Negative
1139156986402158.png,Positive
1140308222472858.png,Positive
1140585696256656.png,Negative
1140669403319034.png,Negative
1141045021891039.png,Negative
1141063531180888.png,Negative
1141167053663299.png,Positive
1141348129721285.png,Negative
1141365448858126.png,Positive
1141391499686347.png,Positive
114151434632345.png,Positive
1141824410422500.png,Negative
1141981551523291.png,Negative
114210006299714.png,Negative
1142454050379950.png,Negative
1142539925825787.png,Negative
1142710310970732.png,Positive
1143137277026108.png,Positive
1143205789891302.png,Negative
1143274983957504.png,Negative
1143386938211112.png,Negative
1143583453537232.png,Negative
1143661960877915.png,Positive
1143763778381825.png,Positive
1143793842099778.png,Negative
114386150495690.png,Negative
1143992822494842.png,Negative
1144065894404411.png,Negative
1144203041143019.png,Positive
1144416471567407.png,Positive
1144573414245468.png,Positive
1144773711283961.png,Positive
1144786135752814.png,Positive
1144816357000141.png,Negative
1145001991395315.png,Positive
1145101079789386.png,Negative
1145182330008577.png,Positive
1145885431496949.png,Positive
1145920875211362.png,Negative
1146102279586261.png,Negative
1146205969516219.png,Positive
1146435642325278.png,Positive
1146494178074200.png,Positive
1146761491695228.png,Positive
1148298816874660.png,Negative
1148928729615085.png,Positive
1149022790762275.png,Positive
1149087561237486.png,Positive
1149179350932952.png,Negative
114951342736856.png,Positive
1149584355883047.png,Negative
1149670045472643.png,Positive
1149823076208921.png,Negative
1150118192851385.png,Negative
1150300001265592.png,Negative
1150439320659377.png,Negative
1150750554344958.png,Positive
1150809580286688.png,Negative
1151001553487469.png,Positive
1151097332501519.png,Positive
1151161400683655.png,Positive
1151558115068187.png,Positive
1151635886276104.png,Negative
115199538562578.png,Negative
1152013424823322.png,Positive
1152023900228181.png,Negative
1152150310561950.png,Positive
1152169212222815.png,Negative
115236330077551.png,Negative
1152400714681489.png,Positive
1152795976700055.png,Positive
1153524880103284.png,Negative
1153761972062254.png,Negative
1154748816096754.png,Negative
1154904632569113.png,Negative
1154948992569579.png,Negative
1155220252213027.png,Positive
1155957674987857.png,Positive
1156317183594747.png,Negative
1156910777809442.png,Positive
1157005901439648.png,Positive
115745480920852.png,Negative
1157699813015508.png,Negative
1157943698949861.png,Negative
1158265071784974.png,Positive
115850314458108.png,Negative
1158513770645462.png,Negative
1159565907787194.png,Negative
1159799460700548.png,Positive
1159946638452561.png,Negative
1160104228494400.png,Negative
1160263711473364.png,Positive
1160280777153214.png,Positive
1160629954487583.png,Negative
1160659442616247.png,Negative
1160728831914029.png,Positive
1160778061878400.png,Negative
1160821139151950.png,Negative
1161027042177951.png,Negative
1161279791924325.png,Negative
1162244550964516.png,Positive
1162306320656527.png,Positive
1162634319962517.png,Negative
1162704477045153.png,Negative
1163659798049569.png,Positive
1164042626223982.png,Negative
1164793005500793.png,Negative
1165037781149268.png,Positive
1165175647082633.png,Positive
1165335284651611.png,Positive
1165923105991736.png,Negative
1166481862879556.png,Negative
1166486441476938.png,Positive
1166599498420444.png,Positive
1166940355944742.png,Negative
116700986607956.png,Positive
1167033954317663.png,Positive
116717932592999.png,Positive
1167257668124074.png,Positive
1167436025351682.png,Negative
1167738085777723.png,Positive
1168548602317220.png,Negative
116855265678925.png,Negative
1168557342055326.png,Negative
116862408660715.png,Positive
1168738571140431.png,Positive
1168818060950058.png,Positive
1168832337796594.png,Negative
116901290597315.png,Positive
1169420771702554.png,Positive
11696842966073.png,Negative
1170018549135265.png,Positive
1170135919599829.png,Negative
1170167374491314.png,Positive
1170222133140191.png,Negative
1170705446812956.png,Positive
1171166275322607.png,Positive
1171501259680786.png,Positive
1171519048440181.png,Negative
117210503628552.png,Positive
1172494651971486.png,Negative
1172553226294326.png,Positive
1172676755867755.png,Negative
1172736374483204.png,Negative
1172888349014907.png,Negative
1173063532419708.png,Negative
1173144155710214.png,Negative
1173773513328029.png,Negative
1173804632955270.png,Negative
1173948424438436.png,Negative
1174192332352061.png,Negative
1174528921456555.png,Negative
1174546875894487.png,Negative
1174826699649895.png,Positive
1175201846757339.png,Negative
1175258805239552.png,Positive
1175488921253315.png,Positive
1175873252970284.png,Negative
1176024822995894.png,Negative
1176066546117473.png,Negative
1176130966850855.png,Negative
117620197001349.png,Positive
1176293876173162.png,Negative
1176547958943060.png,Positive
1176784395495425.png,Positive
1177029524721132.png,Positive
1177206358384801.png,Negative
1177348359148076.png,Negative
1177373939858424.png,Negative
11777395059692.png,Positive
1177807526034002.png,Negative
1178119483457767.png,Negative
1178248811737704.png,Negative
117834983775757.png,Positive
1178372319937438.png,Negative
1178385073546042.png,Positive
1178396927770106.png,Negative
1178453319877562.png,Negative
1178642354838044.png,Positive
1178830541431640.png,Positive
1179337096369650.png,Negative
1179424495816250.png,Negative
1179564779103809.png,Negative
1179633096556149.png,Negative
1179640091296240.png,Positive
1179820539548522.png,Negative
1180164740923352.png,Positive
1180186969743906.png,Negative
1180616443875442.png,Negative
1180672087796058.png,Negative
1180924531609003.png,Negative
1180952803286330.png,Positive
1181483744719054.png,Negative
1181883041912407.png,Positive
118206372063569.png,Positive
118300865875465.png,Negative
1183118376905506.png,Positive
1184553320605310.png,Positive
1184656687754203.png,Positive
118502092048315.png,Negative
1185081347532821.png,Negative
1185366725996306.png,Negative
1185560401655264.png,Negative
1185608851749051.png,Positive
1185800779279439.png,Negative
1186068130941732.png,Negative
1186495041313596.png,Positive
1186560678974121.png,Positive
1186779449184912.png,Positive
1186832208360503.png,Positive
1186974285079842.png,Positive
1187079538271695.png,Positive
1187145864302019.png,Negative
1187174007272847.png,Negative
1187225920415428.png,Negative
1187822038154550.png,Negative
1188036435276347.png,Negative
1188473675190962.png,Positive
1188666988087155.png,Positive
1189075065065395.png,Positive
1189260384979099.png,Positive
1189425724271951.png,Positive
1189791099512407.png,Negative
118979506020383.png,Positive
1189844355852112.png,Positive
1189914291306199.png,Positive
1190443318809789.png,Positive
1190906787135558.png,Positive
1190994758484545.png,Negative
1191050340937288.png,Positive
1191186826865783.png,Negative
1191938773132747.png,Positive
1191972501288647.png,Negative
1192088404994435.png,Negative
1192402854920088.png,Positive
1192574081904607.png,Negative
1192601545970479.png,Positive
1192649374330326.png,Negative
1192657648093293.png,Positive
1192902109236709.png,Negative
119295846043811.png,Negative
119315348720731.png,Positive
1193823168797823.png,Negative
1193842254423783.png,Negative
1193919724292207.png,Negative
1193973769920452.png,Positive
1194047962330695.png,Negative
1194300353033221.png,Positive
1194380664870619.png,Positive
1194607308507172.png,Positive
1194909300897455.png,Negative
1195030794255449.png,Positive
1195356978252526.png,Negative
1195435567327138.png,Negative
1195847845140386.png,Positive
1195866843902808.png,Negative
1196232903204091.png,Positive
1196247105354692.png,Positive
1196320461698331.png,Positive
1196394698455640.png,Positive
1196421740619524.png,Negative
1196809643333657.png,Positive
1196986423615483.png,Positive
1197170425763533.png,Negative
1197192553438327.png,Positive
1197372999656987.png,Negative
1197697146874848.png,Positive
1198177687249156.png,Positive
1198550389088642.png,Negative
1198989113934447.png,Positive
1199285587428344.png,Negative
1199580616499179.png,Negative
1199904841937908.png,Positive
1200405008839907.png,Negative
1200444263919474.png,Positive
1200743988295244.png,Positive
1200947841516800.png,Negative
1201380323190894.png,Negative
1201420256189006.png,Negative
1201670782848084.png,Negative
1201834008383012.png,Negative
1202050204284234.png,Negative
1202072881542810.png,Negative
1202259119179143.png,Positive
1202281300617084.png,Negative
1202314983447570.png,Positive
1202628016961193.png,Positive
1203174948173338.png,Positive
1203194936849611.png,Negative
1203609759832933.png,Negative
1203961335098872.png,Positive
1204001690478451.png,Negative
1204171361078566.png,Positive
1204293898709449.png,Negative
1204435373336948.png,Negative
1204617552766417.png,Positive
1204730197632406.png,Positive
1204766046685320.png,Negative
1204907243154902.png,Negative
1204974080866107.png,Negative
120505837732480.png,Positive
1205116369439743.png,Negative
1205408532935809.png,Negative
1205671367837420.png,Negative
1205931423088470.png,Positive
120608082032626.png,Positive
1206294138624664.png,Positive
1206554651113027.png,Positive
1206563619723272.png,Positive
1206759892980692.png,Positive
1206903599115014.png,Positive
1207198689649223.png,Positive
1208263748809416.png,Positive
1208588914175340.png,Negative
1208665393459559.png,Positive
1208847360636263.png,Negative
1208856814197571.png,Positive
1209002280456608.png,Negative
1209190562955749.png,Positive
1209357958700598.png,Positive
1209491828438537.png,Negative
1209839860165058.png,Positive
1209841886726964.png,Positive
1209942448637578.png,Negative
1210356905918232.png,Positive
1210378585603095.png,Positive
1211006710782670.png,Negative
1211468641752626.png,Negative
1211722735674616.png,Negative
1211866638008900.png,Positive
1211898009573257.png,Negative
1212047122777608.png,Negative
121230101620684.png,Negative
1212393420901032.png,Negative
1213048441317862.png,Negative
1213057248534065.png,Negative
1213370677634012.png,Negative
1214201222043648.png,Positive
1214414038388899.png,Positive
121478180482417.png,Positive
1215224902699358.png,Positive
1215234309081826.png,Positive
1215523812078804.png,Negative
121552520932901.png,Positive
1215609421252710.png,Positive
1215949638247667.png,Negative
1216002216498333.png,Positive
1216354117112947.png,Negative
1216422122412135.png,Negative
1217019008034969.png,Negative
1217142001809634.png,Positive
121719379235382.png,Positive
1217747725098606.png,Negative
121897217364607.png,Positive
1219154313580579.png,Negative
1219356982038413.png,Negative
1219494717195154.png,Positive
1219572349085841.png,Positive
1220009277398827.png,Negative
1220071743601997.png,Positive
1220548292388971.png,Positive
122059940947033.png,Positive
1220760538135825.png,Negative
1220760735028271.png,Positive
1220923664023413.png,Positive
1220938879268540.png,Negative
122158637577855.png,Positive
1221764731929659.png,Negative
1221984317335238.png,Negative
1222021053841826.png,Negative
1222367518442297.png,Positive
1222420822257348.png,Positive
1222778975589457.png,Negative
1223004908480849.png,Negative
1223026033634161.png,Negative
1223799276196533.png,Positive
1224147319866197.png,Negative
1224226942548543.png,Positive
1224348366574199.png,Positive
1224488420011090.png,Positive
1225140607426539.png,Negative
1225579008942511.png,Positive
1225721603835636.png,Negative
1225807406358211.png,Negative
1225858321466790.png,Positive
122589186720136.png,Positive
1225928528030754.png,Positive
1226333422954536.png,Positive
1226532416264683.png,Negative
1226550455917549.png,Positive
1227171978752897.png,Negative
1227264250149479.png,Negative
1227332922610341.png,Negative
1227676317208222.png,Positive
1227867941030078.png,Negative
1227883645974641.png,Positive
122797514260767.png,Positive
122810765968280.png,Positive
1228164782486442.png,Positive
1229073017154082.png,Positive
1229956358316768.png,Negative
1230048459807864.png,Positive
1230409132417232.png,Positive
1230886553065426.png,Negative
1230905365415206.png,Negative
1231229448716024.png,Positive
1231242783268182.png,Positive
1231362594929513.png,Negative
1231814296750139.png,Negative
1231930746972117.png,Negative
1232331601620256.png,Positive
1232422154798694.png,Negative
123266444243617.png,Negative
1233137321618521.png,Positive
123374286596229.png,Positive
1233966778579180.png,Negative
1234045910879053.png,Positive
1234047299568707.png,Positive
1234387078844457.png,Negative
1235442962406067.png,Positive
1235478647465539.png,Negative
1235546832089149.png,Negative
123586377907187.png,Positive
1236043282465771.png,Negative
1236624236710871.png,Negative
1236737351873974.png,Negative
1236757425363885.png,Positive
1236777189909807.png,Positive
1236917976930008.png,Positive
1236965796619597.png,Positive
1236977397648976.png,Positive
1237465375198581.png,Negative
1237603840265421.png,Negative
1238060649907166.png,Positive
1238227910384896.png,Positive
1238264238186541.png,Negative
1238453724272558.png,Positive
1238548567517948.png,Positive
1238672874886233.png,Negative
1238871010468934.png,Positive
1238901367674433.png,Negative
1239007261866237.png,Positive
1239162217401782.png,Positive
123943809017016.png,Positive
12396267842927.png,Negative
1239773764956074.png,Negative
123995133602386.png,Positive
